,Insulation Thickness,Window to Wall Ratio,Orientation,Ventilation1,Ventilation2,VentilationC,InteriorLights:Electricity,DistrictHeating:Facility,DistrictCooling:Facility,TotalConsumption
0,0.05,0.15,0,0.0,0.0,0.0,7493.612711337313,5814.257542185953,3022.6579025718393,16330.528156095106
1,0.05,0.15,0,0.665074,0.653072,0.265087,7493.612711337313,5821.319506408716,2688.5802077447424,16003.512425490771
2,0.05,0.15,90,0.0,0.0,0.0,7439.816500177352,5854.68902998942,3128.130812037147,16422.63634220392
3,0.05,0.15,90,0.665074,0.653072,0.265087,7439.816500177352,5861.993078795583,2763.0270847212014,16064.836663694135
4,0.05,0.5,0,0.0,0.0,0.0,7005.8575103797175,6013.6468020435905,2885.8605369132847,15905.364849336593
5,0.05,0.5,0,0.665074,0.653072,0.265087,7005.8575103797175,6020.802855842066,2543.108304227529,15569.768670449312
6,0.05,0.5,90,0.0,0.0,0.0,6820.001991711654,6047.748375259743,2991.7967025724197,15859.547069543816
7,0.05,0.5,90,0.665074,0.653072,0.265087,6820.001991711654,6055.439083872812,2606.603437155958,15482.044512740424
8,0.05,0.9,0,0.0,0.0,0.0,6435.897792353874,6240.470838950289,2721.241814286546,15397.610445590708
9,0.05,0.9,0,0.665074,0.653072,0.265087,6435.897792353874,6247.668373598295,2369.9300498017788,15053.496215753948
10,0.05,0.9,90,0.0,0.0,0.0,6224.8409011467475,6265.460603982652,2933.51356205943,15423.815067188829
11,0.05,0.9,90,0.665074,0.653072,0.265087,6224.8409011467475,6273.1028129418,2513.579827689959,15011.523541778508
12,0.2,0.15,0,0.0,0.0,0.0,7493.612711337313,4720.6685394458955,3195.053213533598,15409.334464316806
13,0.2,0.15,0,0.665074,0.653072,0.265087,7493.612711337313,4728.687533196201,2836.27664231136,15058.576886844874
14,0.2,0.15,90,0.0,0.0,0.0,7439.816500177352,4732.059333737608,3232.697513891909,15404.573347806869
15,0.2,0.15,90,0.665074,0.653072,0.265087,7439.816500177352,4740.190814204284,2860.8852176934265,15040.892532075062
16,0.2,0.5,0,0.0,0.0,0.0,7005.8575103797175,4972.64015794412,3040.9679495177634,15019.4656178416
17,0.2,0.5,0,0.665074,0.653072,0.265087,7005.8575103797175,4980.954640135743,2674.016979824949,14660.82913034041
18,0.2,0.5,90,0.0,0.0,0.0,6820.001991711654,4979.432755782496,3086.2087984673585,14885.64354596151
19,0.2,0.5,90,0.665074,0.653072,0.265087,6820.001991711654,4988.031952013301,2694.2511694062287,14502.285113131184
20,0.2,0.9,0,0.0,0.0,0.0,6435.897792353874,5259.5984285804825,2859.6699945352448,14555.166215469602
21,0.2,0.9,0,0.665074,0.653072,0.265087,6435.897792353874,5267.794188506353,2487.317683905073,14191.0096647653
22,0.2,0.9,90,0.0,0.0,0.0,6224.8409011467475,5256.582976923513,3020.429749452487,14501.853627522749
23,0.2,0.9,90,0.665074,0.653072,0.265087,6224.8409011467475,5265.18613803223,2594.2673264131026,14084.294365592079
24,0.35,0.15,0,0.0,0.0,0.0,7493.612711337313,4514.871283109362,3228.3338093858974,15236.817803832571
25,0.35,0.15,0,0.665074,0.653072,0.265087,7493.612711337313,4523.051524843101,2865.1531143845764,14881.81735056499
26,0.35,0.15,90,0.0,0.0,0.0,7439.816500177352,4520.763745636041,3252.605961668235,15213.186207481627
27,0.35,0.15,90,0.665074,0.653072,0.265087,7439.816500177352,4529.115581885953,2879.4950225034263,14848.427104566732
28,0.35,0.5,0,0.0,0.0,0.0,7005.8575103797175,4778.225803106342,3071.369718460932,14855.453031946992
29,0.35,0.5,0,0.665074,0.653072,0.265087,7005.8575103797175,4786.376450652826,2700.1696578381307,14492.403618870674
30,0.35,0.5,90,0.0,0.0,0.0,6820.001991711654,4778.83982024982,3104.3478520301937,14703.189663991667
31,0.35,0.5,90,0.665074,0.653072,0.265087,6820.001991711654,4787.329412788127,2712.628150388756,14319.959554888537
32,0.35,0.9,0,0.0,0.0,0.0,6435.897792353874,5075.80940169008,2886.3530761047355,14398.06027014869
33,0.35,0.9,0,0.665074,0.653072,0.265087,6435.897792353874,5084.260019428052,2507.885312338794,14028.043124120719
34,0.35,0.9,90,0.0,0.0,0.0,6224.8409011467475,5067.9513349207455,3035.530909662467,14328.323145729959
35,0.35,0.9,90,0.665074,0.653072,0.265087,6224.8409011467475,5076.793597666709,2608.1453048369526,13909.77980365041
