,Insulation Thickness,Window to Wall Ratio,Orientation,Ventilation1,Ventilation2,VentilationC,InteriorLights:Electricity,DistrictHeating:Facility,DistrictCooling:Facility,TotalConsumption
0,0.05,0.15,0,0.0,0.0,0.0,7463.5709032848445,5918.753244091507,2988.8826712163886,16371.20681859274
1,0.05,0.15,0,0.665074,0.653072,0.265087,7463.5709032848445,5925.900633069307,2659.3260649222216,16048.797601276374
2,0.05,0.15,90,0.0,0.0,0.0,7402.173990716788,5957.5748179194,3095.247621852438,16454.996430488623
3,0.05,0.15,90,0.665074,0.653072,0.265087,7402.173990716788,5964.6999742621265,2733.1488192847087,16100.022784263623
4,0.05,0.5,0,0.0,0.0,0.0,6902.379038078241,6332.422230421433,2783.9563472991995,16018.757615798873
5,0.05,0.5,0,0.665074,0.653072,0.265087,6902.379038078241,6339.436921275672,2452.586510941782,15694.402470295696
6,0.05,0.5,90,0.0,0.0,0.0,6697.997752168324,6364.619517280577,2899.294896336479,15961.91216578538
7,0.05,0.5,90,0.665074,0.653072,0.265087,6697.997752168324,6372.3294471234585,2520.7177458414008,15591.044945133184
8,0.05,0.9,0,0.0,0.0,0.0,6248.392055294519,6791.484745682763,2552.69430467625,15592.571105653533
9,0.05,0.9,0,0.665074,0.653072,0.265087,6248.392055294519,6798.334847872738,2215.216453081891,15261.943356249147
10,0.05,0.9,90,0.0,0.0,0.0,6056.009920370668,6806.279509493574,2814.863763281402,15677.153193145645
11,0.05,0.9,90,0.665074,0.653072,0.265087,6056.009920370668,6813.824643425236,2409.24683680231,15279.081400598214
12,0.2,0.15,0,0.0,0.0,0.0,7463.5709032848445,4821.14007566921,3158.2977104473334,15443.008689401388
13,0.2,0.15,0,0.665074,0.653072,0.265087,7463.5709032848445,4829.110030658331,2803.280869173123,15095.961803116299
14,0.2,0.15,90,0.0,0.0,0.0,7402.173990716788,4832.167325369455,3197.368044177879,15431.709360264122
15,0.2,0.15,90,0.665074,0.653072,0.265087,7402.173990716788,4840.53145747781,2827.946069825018,15070.651518019615
16,0.2,0.5,0,0.0,0.0,0.0,6902.379038078241,5285.429785236779,2932.223898993028,15120.032722308048
17,0.2,0.5,0,0.665074,0.653072,0.265087,6902.379038078241,5292.968795808903,2579.694174425336,14775.04200831248
18,0.2,0.5,90,0.0,0.0,0.0,6697.997752168324,5287.683751509301,2988.841789775519,14974.523293453145
19,0.2,0.5,90,0.665074,0.653072,0.265087,6697.997752168324,5296.071224902496,2605.1323226946542,14599.201299765475
20,0.2,0.9,0,0.0,0.0,0.0,6248.392055294519,5802.283237932459,2680.1922281819184,14730.867521408898
21,0.2,0.9,0,0.665074,0.653072,0.265087,6248.392055294519,5809.460217297246,2322.712336746947,14380.564609338711
22,0.2,0.9,90,0.0,0.0,0.0,6056.009920370668,5789.160327011621,2893.995314492487,14739.165561874775
23,0.2,0.9,90,0.665074,0.653072,0.265087,6056.009920370668,5797.302526620392,2479.378805513655,14332.691252504716
24,0.35,0.15,0,0.0,0.0,0.0,7463.5709032848445,4615.756207473001,3191.3334826372325,15270.660593395078
25,0.35,0.15,0,0.665074,0.653072,0.265087,7463.5709032848445,4624.081719546016,2830.04918755764,14917.7018103885
26,0.35,0.15,90,0.0,0.0,0.0,7402.173990716788,4620.817534216663,3216.7998460902245,15239.791371023675
27,0.35,0.15,90,0.665074,0.653072,0.265087,7402.173990716788,4629.163494271754,2846.708598786021,14878.046083774563
28,0.35,0.5,0,0.0,0.0,0.0,6902.379038078241,5088.494853289722,2960.8670489236965,14951.74094029166
29,0.35,0.5,0,0.665074,0.653072,0.265087,6902.379038078241,5096.6288017233655,2601.4515141392926,14600.4593539409
30,0.35,0.5,90,0.0,0.0,0.0,6697.997752168324,5086.576845165922,3005.0354724326567,14789.610069766903
31,0.35,0.5,90,0.665074,0.653072,0.265087,6697.997752168324,5095.4062120679155,2620.3137849853288,14413.717749221567
32,0.35,0.9,0,0.0,0.0,0.0,6248.392055294519,5617.331019676554,2705.0057922861565,14570.728867257229
33,0.35,0.9,0,0.665074,0.653072,0.265087,6248.392055294519,5624.739061162366,2344.195948425503,14217.32706488239
34,0.35,0.9,90,0.0,0.0,0.0,6056.009920370668,5598.235601376816,2908.5259882232463,14562.771509970731
35,0.35,0.9,90,0.665074,0.653072,0.265087,6056.009920370668,5606.294011016712,2494.5036091831807,14156.80754057056
