,Insulation Thickness,Window to Wall Ratio,Orientation,Ventilation1,Ventilation2,VentilationC,InteriorLights:Electricity,DistrictHeating:Facility,DistrictCooling:Facility,TotalConsumption
0,0.05,0.15,0,0.0,0.0,0.0,7519.985765019633,5763.8742271356405,3039.1973151898997,16323.057307345174
1,0.05,0.15,0,0.665074,0.653072,0.265087,7519.985765019633,5771.151992732233,2704.045883320804,15995.183641072668
2,0.05,0.15,90,0.0,0.0,0.0,7473.090160182783,5804.912236057312,3142.1039533083886,16420.106349548485
3,0.05,0.15,90,0.665074,0.653072,0.265087,7473.090160182783,5812.057558983687,2776.734463256178,16061.882182422647
4,0.05,0.5,0,0.0,0.0,0.0,7097.353443729936,5847.753951813593,2939.9764524707834,15885.08384801431
5,0.05,0.5,0,0.665074,0.653072,0.265087,7097.353443729936,5854.997022875076,2595.8247408360853,15548.175207441098
6,0.05,0.5,90,0.0,0.0,0.0,6934.462289653115,5883.6659621087465,3037.2933313003023,15855.421583062163
7,0.05,0.5,90,0.665074,0.653072,0.265087,6934.462289653115,5891.096993233375,2654.917531677975,15480.476814564465
8,0.05,0.9,0,0.0,0.0,0.0,6603.0640566263055,5941.120991227866,2819.7445836600505,15363.929631514224
9,0.05,0.9,0,0.665074,0.653072,0.265087,6603.0640566263055,5948.2641974496855,2465.233913416926,15016.562167492917
10,0.05,0.9,90,0.0,0.0,0.0,6385.552125325156,5973.60717250479,2979.238812596206,15338.398110426151
11,0.05,0.9,90,0.665074,0.653072,0.265087,6385.552125325156,5981.248619518873,2565.4905581481225,14932.291302992151
12,0.2,0.15,0,0.0,0.0,0.0,7519.985765019633,4670.428684087622,3212.576944077036,15402.99139318429
13,0.2,0.15,0,0.665074,0.653072,0.265087,7519.985765019633,4678.430941681929,2853.542103214044,15051.958809915606
14,0.2,0.15,90,0.0,0.0,0.0,7473.090160182783,4682.6830936336055,3247.435734002758,15403.208987819147
15,0.2,0.15,90,0.665074,0.653072,0.265087,7473.090160182783,4690.791775756986,2876.5890179852217,15040.47095392499
16,0.2,0.5,0,0.0,0.0,0.0,7097.353443729936,4808.02766069005,3099.5646766354403,15004.945781055427
17,0.2,0.5,0,0.665074,0.653072,0.265087,7097.353443729936,4816.333369215788,2731.6796812408566,14645.366494186579
18,0.2,0.5,90,0.0,0.0,0.0,6934.462289653115,4816.722325497671,3134.35668123402,14885.541296384805
19,0.2,0.5,90,0.665074,0.653072,0.265087,6934.462289653115,4825.393487443939,2746.9987306770377,14506.854507774091
20,0.2,0.9,0,0.0,0.0,0.0,6603.0640566263055,4962.600998770091,2963.2017928758833,14528.866848272279
21,0.2,0.9,0,0.665074,0.653072,0.265087,6603.0640566263055,4971.004265673527,2584.674064156907,14158.742386456739
22,0.2,0.9,90,0.0,0.0,0.0,6385.552125325156,4966.73475121719,3066.3535105216206,14418.640387063966
23,0.2,0.9,90,0.665074,0.653072,0.265087,6385.552125325156,4975.53325341169,2649.639163025862,14010.72454176271
24,0.35,0.15,0,0.0,0.0,0.0,7519.985765019633,4465.048107773379,3245.66875312733,15230.702625920341
25,0.35,0.15,0,0.665074,0.653072,0.265087,7519.985765019633,4473.343172539302,2883.6966118214887,14877.025549380423
26,0.35,0.15,90,0.0,0.0,0.0,7473.090160182783,4471.8660464367285,3267.6093641901066,15212.565570809618
27,0.35,0.15,90,0.665074,0.653072,0.265087,7473.090160182783,4480.087759635263,2895.5741398376194,14848.752059655664
28,0.35,0.5,0,0.0,0.0,0.0,7097.353443729936,4613.673818844004,3129.9501195692505,14840.977382143192
29,0.35,0.5,0,0.665074,0.653072,0.265087,7097.353443729936,4622.218249375574,2756.6557369260154,14476.227430031526
30,0.35,0.5,90,0.0,0.0,0.0,6934.462289653115,4616.928786236235,3152.7580840397877,14704.149159929137
31,0.35,0.5,90,0.665074,0.653072,0.265087,6934.462289653115,4625.4286694172715,2762.035037976981,14321.925997047367
32,0.35,0.9,0,0.0,0.0,0.0,6603.0640566263055,4780.000823646934,2991.055637388437,14374.120517661675
33,0.35,0.9,0,0.665074,0.653072,0.265087,6603.0640566263055,4788.495431255129,2606.120109400813,13997.679597282247
34,0.35,0.9,90,0.0,0.0,0.0,6385.552125325156,4778.501557059258,3082.903828697708,14246.95751108212
35,0.35,0.9,90,0.665074,0.653072,0.265087,6385.552125325156,4787.133753699671,2664.7000130875067,13837.385892112334
